company_name,trips_amount,top_neighborhood
Flash Cab,19558,Loop
Taxi Affiliation Services,11422,River North
Medallion Leasin,10367,Streeterville
Yellow Cab,9888,West Loop
Taxi Affiliation Service Yellow,9299,O'Hare
Chicago Carriage Cab Corp,9181,Lake View
City Service,8448,Grant Park
Sun Taxi,7701,Museum Campus
Star North Management LLC,7455,Gold Coast
Blue Ribbon Taxi Association Inc.,5953,Sheffield & DePaul
Choice Taxi Association,5015,Lincoln Park
Globe Taxi,4383,East Village
Dispatch Taxi Affiliation,3355,"Little Italy, UIC"
Nova Taxi Affiliation Llc,3175,Uptown
Patriot Taxi Dba Peace Taxi Associat,2235,Near South Side
Checker Taxi Affiliation,2216,Garfield Ridge
Blue Diamond,2070,Logan Square
Chicago Medallion Management,1955,Edgewater
24 Seven Taxi,1775,West Town
Chicago Medallion Leasing INC,1607,Old Town
Checker Taxi,1486,Rush & Division
American United,1404,North Center
Chicago Independents,1296,Lincoln Square
KOAM Taxi Association,1259,Rogers Park
Chicago Taxicab,1014,West Ridge
Top Cab Affiliation,978,Irving Park
Gold Coast Taxi,428,Hyde Park
Service Taxi Association,402,Avondale
5 Star Taxi,310,Wicker Park
303 Taxi,250,Albany Park
Setare Inc,230,United Center
American United Taxi Affiliation,210,Lower West Side
Leonard Cab Co,147,Douglas
Metro Jet Taxi A,146,Portage Park
Norshore Cab,127,Humboldt Park
6742 - 83735 Tasha ride inc,39,Norwood Park
3591 - 63480 Chuks Cab,37,Kenwood
1469 - 64126 Omar Jada,36,Bridgeport
6743 - 78771 Luhak Corp,33,Armour Square
0118 - 42111 Godfrey S.Awir,33,Jefferson Park
6574 - Babylon Express Inc.,31,Bucktown
Chicago Star Taxicab,29,North Park
1085 - 72312 N and W Cab Co,29,Garfield Park
2809 - 95474 C & D Cab Co Inc.,29,Mckinley Park
2092 - 61288 Sbeih company,27,Belmont Cragin
3011 - 66308 JBL Cab Inc.,25,Boystown
3620 - 52292 David K. Cab Corp.,21,Chinatown
4615 - 83503 Tyrone Henderson,21,Grand Boulevard
3623 - 72222 Arrington Enterprises,20,Austin
5074 - 54002 Ahzmi Inc,16,"Sauganash,Forest Glen"
2823 - 73307 Lee Express Inc,15,South Shore
4623 - 27290 Jay Kim,15,Woodlawn
"3721 - Santamaria Express, Alvaro Santamaria",14,Little Village
5006 - 39261 Salifu Bawa,14,Jackson Park
2192 - 73487 Zeymane Corp,14,North Lawndale
6057 - 24657 Richard Addo,13,Dunning
5997 - 65283 AW Services Inc.,12,Ukrainian Village
Metro Group,11,Hermosa
5062 - 34841 Sam Mestas,8,Englewood
4053 - 40193 Adwar H. Nikola,7,Chatham
2733 - 74600 Benny Jona,7,New City
5874 - 73628 Sergey Cab Corp.,5,Grand Crossing
"2241 - 44667 - Felman Corp, Manuel Alonso",3,Brighton Park
3556 - 36214 RC Andrews Cab,2,Andersonville
